,Correct Answer,Yi-1.5-34B-Chat.csv,Yi-1.5-34B-Chat.csv (Revised % Concordant),Qwen2.5-32B.csv,Qwen2.5-32B.csv (Revised % Concordant),Phi-3-medium-4k-instruct.csv,Phi-3-medium-4k-instruct.csv (Revised % Concordant)
0,A,C,0.6,E,0.6,D,0.9
1,B,A,0.5,C,0.6,A,0.7
2,A,C,0.5,B,0.8,E,1.0
3,D,D,0.6,B,0.7,D,0.9
4,E,D,0.9,A,0.7,C,0.8
5,C,D,0.8,D,0.8,E,0.4
6,A,C,0.6,A,1.0,E,0.6
7,A,E,0.9,C,0.5,C,0.6
8,C,B,0.4,C,1.0,C,0.3
9,B,F,0.3,A,0.6,F,0.8
10,F,C,0.4,A,0.6,A,0.8
11,C,A,0.5,C,0.6,D,0.7
12,B,D,0.8,A,1.0,D,0.6
13,B,C,0.5,A,0.7,E,1.0
14,E,A,0.9,C,1.0,A,0.4
15,D,C,0.7,B,0.7,D,0.7
16,D,C,0.8,E,0.6,E,0.6
17,A,D,0.9,C,0.8,E,0.6
18,D,A,0.8,A,1.0,D,0.8
19,B,C,0.4,A,0.8,C,1.0
20,B,D,0.5,C,0.6,E,0.4
21,D,C,0.6,C,0.7,C,0.6
22,C,F,0.9,E,1.0,B,0.5
23,B,E,0.6,B,0.9,E,0.7
24,D,A,0.6,A,0.9,B,0.7
25,D,B,0.7,A,0.9,D,0.9
26,E,C,0.6,C,1.0,B,0.5
27,D,E,0.5,D,0.9,D,0.6
28,A,B,0.7,C,0.7,D,0.9
29,C,B,0.7,A,1.0,A,1.0
30,D,A,0.4,A,1.0,B,0.6
31,E,C,0.3,B,1.0,A,0.7
32,B,D,0.5,E,0.7,F,0.7
33,B,A,0.5,A,0.9,E,0.8
34,A,A,0.9,D,1.0,A,0.7
35,C,D,0.9,C,1.0,C,0.5
36,C,A,0.5,B,0.6,A,0.4
37,B,C,1.0,D,0.6,A,1.0
38,A,B,0.9,A,1.0,E,0.8
39,A,D,0.6,C,0.9,E,0.6
40,B,E,0.9,B,0.9,C,0.6
41,D,A,0.8,C,1.0,B,0.7
42,B,A,0.5,B,0.8,D,0.8
43,B,E,0.7,B,1.0,A,0.6
44,E,A,0.8,A,0.9,A,0.5
45,D,E,1.0,E,1.0,E,1.0
46,C,C,0.6,D,1.0,D,0.8
47,E,E,0.6,A,0.6,B,0.5
48,E,C,0.7,D,0.9,C,0.5
49,D,C,0.7,A,0.6,B,0.6
50,A,B,0.7,A,0.5,B,0.9
51,B,E,0.8,A,1.0,B,0.4
52,C,D,0.6,B,1.0,C,0.9
53,C,B,0.6,C,0.9,D,0.8
54,C,C,0.6,C,0.7,C,0.8
55,A,E,1.0,E,1.0,A,0.8
56,A,E,1.0,C,0.7,A,0.9
57,A,D,0.5,D,0.9,E,0.4
58,E,D,0.5,D,0.5,E,0.5
59,C,D,1.0,B,1.0,A,0.6
60,D,D,0.6,A,1.0,E,0.6
61,C,A,0.5,C,0.9,C,0.7
62,E,D,0.5,D,1.0,E,0.6
63,D,E,0.8,B,0.5,A,0.6
64,D,C,0.6,D,1.0,B,0.9
65,B,C,0.3,C,0.8,D,0.8
66,C,A,0.6,C,1.0,B,1.0
67,C,F,0.8,C,1.0,C,0.3
68,A,C,1.0,B,0.8,B,0.5
69,D,A,0.5,A,1.0,E,0.9
70,C,A,0.6,B,0.9,E,0.9
71,D,E,0.9,F,0.6,H,0.8
72,C,B,0.9,C,0.7,D,0.3
73,D,B,0.5,D,0.7,B,1.0
74,E,D,0.5,C,0.7,B,0.5
75,B,C,0.9,A,1.0,C,0.7
76,B,F,0.8,C,0.9,G,0.6
77,E,B,0.7,A,0.5,A,1.0
78,E,C,0.9,A,0.3,E,0.5
79,D,B,0.8,A,0.7,B,0.5
80,E,D,0.6,B,0.9,E,0.8
81,A,B,0.4,C,0.7,E,0.6
82,E,C,0.5,E,1.0,B,0.9
83,C,E,0.5,B,0.5,E,0.4
84,E,F,0.8,E,1.0,C,0.7
85,B,E,1.0,A,1.0,D,1.0
86,D,D,0.9,D,1.0,E,0.8
87,D,B,1.0,D,0.7,D,0.9
88,E,C,0.5,D,0.9,E,0.9
89,B,A,0.7,B,0.9,A,0.5
90,F,B,0.4,D,0.9,D,0.7
91,A,D,0.9,B,0.9,C,0.8
92,E,E,0.9,C,1.0,D,0.8
93,A,D,0.9,C,1.0,E,1.0
94,D,B,0.8,A,0.4,A,0.7
